Time Window,Size Bin,Relative Growth (%)
2017-2020,1 - 4,6.2
2017-2020,5 - 9,21.5
2017-2020,10 - 19,48.1
2017-2020,20 - 29,64.1
2017-2020,30 - 39,66.2
2017-2020,40 - 49,145.5
2017-2020,50 - 59,145.5
2017-2020,60 - 69,400
2017-2020,70 - 79,200
2017-2020,80 - 89,100
2017-2020,90 - 99,400
2017-2020,100 +,200
2011-2020,1 - 4,11.2
2011-2020,5 - 9,46.8
2011-2020,10 - 19,84.2
2011-2020,20 - 29,110.8
2011-2020,30 - 39,154.5
2011-2020,40 - 49,138.2
2011-2020,50 - 59,180
2011-2020,60 - 69,64.3
2011-2020,70 - 79,433.3
2011-2020,80 - 89,150
2011-2020,90 - 99,500
2011-2020,100 +,158.3
2001-2020,1 - 4,80.8
2001-2020,5 - 9,184.1
2001-2020,10 - 19,283.1
2001-2020,20 - 29,357.2
2001-2020,30 - 39,437.9
2001-2020,40 - 49,400
2001-2020,50 - 59,185
2001-2020,60 - 69,311.1
2001-2020,70 - 79,1800
2001-2020,80 - 89,600
2001-2020,90 - 99,250
2001-2020,100 +,975
